Package,Version,Base,Loaded,Attached
labeling,0.3,No,Yes,No
farver,2.0.3,No,Yes,No
bit64,0.9-7,No,Yes,No
rprojroot,1.3-2,No,Yes,No
vctrs,0.3.2,No,Yes,No
generics,0.0.2,No,Yes,No
ipred,0.9-9,No,Yes,No
xfun,0.16,No,Yes,No
R6,2.4.1,No,Yes,No
assertthat,0.2.1,No,Yes,No
scales,1.1.1,No,Yes,No
nnet,7.3-14,No,Yes,No
forecast,8.12,No,Yes,No
gtable,0.3.0,No,Yes,No
processx,3.4.3,No,Yes,No
timeDate,3043.102,No,Yes,No
dslabs,0.7.3,No,Yes,No
rlang,0.4.7,No,Yes,No
extrafontdb,1.0,No,Yes,No
rstatix,0.6.0,No,Yes,No
ModelMetrics,1.2.2.2,No,Yes,No
acepack,1.4.1,No,Yes,No
impute,1.62.0,No,Yes,No
checkmate,2.0.0,No,Yes,No
BiocManager,1.30.10,No,Yes,No
abind,1.4-5,No,Yes,No
yaml,2.2.1,No,Yes,No
reshape2,1.4.4,No,Yes,No
modelr,0.1.8,No,Yes,No
backports,1.1.8,No,Yes,No
quantmod,0.4.17,No,Yes,No
Hmisc,4.4-0,No,Yes,No
tools,4.0.2,No,Yes,No
lava,1.6.7,No,Yes,No
stinepack,1.4,No,Yes,No
ellipsis,0.3.1,No,Yes,No
RColorBrewer,1.1-2,No,Yes,No
sessioninfo,1.1.1,No,Yes,No
Rcpp,1.0.5,No,Yes,No
plyr,1.8.6,No,Yes,No
base64enc,0.1-3,No,Yes,No
ps,1.3.3,No,Yes,No
prettyunits,1.1.1,No,Yes,No
rpart,4.1-15,No,Yes,No
cowplot,1.0.0,No,Yes,No
fracdiff,1.5-1,No,Yes,No
S4Vectors,0.26.1,No,Yes,No
zoo,1.8-8,No,Yes,No
ggrepel,0.8.2,No,Yes,No
haven,2.3.1,No,Yes,No
cluster,2.1.0,No,Yes,No
fs,1.4.2,No,Yes,No
magrittr,1.5,No,Yes,No
data.table,1.13.0,No,Yes,No
openxlsx,4.1.5,No,Yes,No
lmtest,0.9-37,No,Yes,No
reprex,0.3.0,No,Yes,No
whisker,0.4,No,Yes,No
pkgload,1.1.0,No,Yes,No
hms,0.5.3,No,Yes,No
evaluate,0.14,No,Yes,No
rio,0.5.16,No,Yes,No
jpeg,0.1-8.1,No,Yes,No
tfruns,1.4,No,Yes,No
IRanges,2.22.2,No,Yes,No
gridExtra,2.3,No,Yes,No
shape,1.4.4,No,Yes,No
testthat,2.3.2,No,Yes,No
compiler,4.0.2,No,Yes,No
crayon,1.3.4,No,Yes,No
htmltools,0.5.0,No,Yes,No
mgcv,1.8-31,No,Yes,No
Formula,1.2-3,No,Yes,No
DBI,1.1.0,No,Yes,No
dbplyr,1.4.4,No,Yes,No
MASS,7.3-51.6,No,Yes,No
rappdirs,0.3.1,No,Yes,No
car,3.0-8,No,Yes,No
cli,2.0.2,No,Yes,No
quadprog,1.5-8,No,Yes,No
gower,0.2.2,No,Yes,No
pkgconfig,2.0.3,No,Yes,No
foreign,0.8-80,No,Yes,No
recipes,0.1.13,No,Yes,No
xml2,1.3.2,No,Yes,No
webshot,0.5.2,No,Yes,No
prodlim,2019.11.13,No,Yes,No
rvest,0.3.6,No,Yes,No
callr,3.4.3,No,Yes,No
digest,0.6.25,No,Yes,No
rmarkdown,2.6,No,Yes,No
cellranger,1.1.0,No,Yes,No
htmlTable,2.0.1,No,Yes,No
curl,4.3,No,Yes,No
urca,1.3-0,No,Yes,No
lifecycle,0.2.0,No,Yes,No
nlme,3.1-148,No,Yes,No
jsonlite,1.7.0,No,Yes,No
tseries,0.10-47,No,Yes,No
carData,3.0-4,No,Yes,No
desc,1.2.0,No,Yes,No
viridisLite,0.3.0,No,Yes,No
fansi,0.4.1,No,Yes,No
pillar,1.4.6,No,Yes,No
httr,1.4.2,No,Yes,No
pkgbuild,1.1.0,No,Yes,No
GO.db,3.11.4,No,Yes,No
glue,1.4.1,No,Yes,No
xts,0.12-0,No,Yes,No
remotes,2.2.0,No,Yes,No
zip,2.1.1,No,Yes,No
png,0.1-7,No,Yes,No
bit,1.1-15.2,No,Yes,No
class,7.3-17,No,Yes,No
stringi,1.4.6,No,Yes,No
blob,1.2.1,No,Yes,No
latticeExtra,0.6-29,No,Yes,No
memoise,1.1.0,No,Yes,No
