O150	O141	0.04317207641889992
9139	697	0.043021488189348256
Z369	K089	0.0427139418688616
9921	9783	0.042459350793925404
9357	8905	0.0424446600040042
M545	K029	0.04213405796957298
9929	897	0.04207615837904643
9716	8878	0.04201825012033952
O321	8878	0.04184994438258133
O610	7534	0.04182355043125368
M545	K291	0.04176851653429528
9357	9139	0.041731680262702554
O440	8878	0.041679537480420505
J069	B373	0.04167324584961775
R53	8749	0.04156163035664444
N390	K291	0.04153653423142987
R53	J40	0.04141571719306892
Z301	9139	0.041388565939058264
I10	H669	0.04117345959431836
R53	M545	0.04116808497235744
9357	8749	0.040815821793687625
J40	8749	0.04081325311486523
Z090	N832	0.04078162859190557
H811	H521	0.04070696923797675
Z308	J060	0.040654890451779876
J680	9716	0.04062187124234627
9131	8878	0.040563380926053265
O342	9659	0.04049099515660128
O610	O141	0.040424946992144266
O363	O311	0.04011110442808614
O321	697	0.04009147508976432
Z309	J069	0.040004162190693145
O150	K529	0.039815597696344233
9918	9783	0.03981126061575061
R53	I10	0.03973299740372825
J40	J069	0.03968769088885605
8878	697	0.039612061906339396
Z038	9394	0.039273936675234405
9394	8878	0.03906175020475267
J180	B373	0.03901073486618465
Z018	8905	0.038966311903429335
O268	8878	0.03895806199497878
9918	9389	0.03875085580077771
K297	K290	0.0386761456761426
Z719	B373	0.03860034188179304
O342	9396	0.03856058239810324
7534	598	0.038515235692970905
O600	O141	0.03849083869747765
K297	I10	0.03844920287667828
O141	598	0.0384285934062856
8879	8749	0.03833958240727332
M069	J069	0.03833155922065471
O860	O441	0.03831987083541068
Z099	O149	0.03827430855161666
Z018	O479	0.038255250741905035
9131	697	0.03824875982477315
Z301	O363	0.03821741842932235
Z320	I959	0.038195457698060285
O441	9357	0.038156133811829175
Z719	K029	0.03808964691990811
causal_A06	9131	0.03801093758099362
Z369	8878	0.0379757518441408
J40	D259	0.03796650954195587
K290	8879	0.0378466961364544
H811	E780	0.037657309789955906
O363	O262	0.037599283285885306
J40	H811	0.037515024623261554
K30	K290	0.03750473963847344
9659	8879	0.03737112464171881
O13	697	0.037233832061851824
R53	J459	0.037136758996510096
J40	H522	0.037072601728942355
Z090	M545	0.03705170092820689
O411	9139	0.03704683261758148
N390	H669	0.03702494477504885
O600	causal_A10	0.0370063357511913
N390	M545	0.03694778858420801
9396	8749	0.03691864767036611
O441	598	0.03677638591508745
O149	O140	0.036681508409364585
O150	I500	0.036639446884818856
734	697	0.03655205965368217
R69	9904	0.03650779049747185
O479	E780	0.0364314346930041
Z320	J060	0.03627400858143428
Z719	J459	0.036264796773844456
Z710	O149	0.03609149331820895
Z090	I500	0.03601353825584185
O311	J398	0.035961413606154624
O141	9396	0.03592062647025017
K089	A09	0.03589847224495217
9904	8878	0.03583285879026373
9904	9139	0.03566779830213057
Z012	N946	0.035555302731271665
9659	7171	0.03553508632619234
O410	9139	0.03539637381255851
H669	H522	0.035371023249423456
Z090	A09	0.03536668758396283
D259	8749	0.0352368664974081
I849	B373	0.03523095710537731
O365	8879	0.035183150604657557
9616	734	0.03516132861155187
Z710	O600	0.03512765478767426
causal_A10	5794	0.03509587124962261
Z090	9716	0.03503780720737142
O610	9059	0.03489627100051365
O410	697	0.034864410269049115
K291	B373	0.03486349377582936
N946	N920	0.034813392326871175
O140	J398	0.034793290782701346
J398	A09	0.03468537482995925
N832	I10	0.03463180846657481
O619	9616	0.0345264447398366
Z300	J060	0.03451676394088033
O141	O140	0.034481115637010035
8876	8749	0.03439674887234981
O619	5794	0.03439640094828827
9904	7534	0.03439148099347997
N832	8878	0.03438579050478691
O600	O440	0.03431724069693194
J459	I849	0.034186166523898734
Z038	8879	0.03413255833170779
O479	M545	0.03407606456183793
9904	9716	0.03405942872208628
O610	9139	0.03403192360240945
O619	9059	0.03401184952733243
K029	causal_A11	0.03396463654063913
Z038	J40	0.03396186526244479
Z018	8878	0.03391837732970061
H669	causal_A11	0.03391031391270603
I10	9783	0.03388788579274162
8878	6909	0.03387209410828033
Z018	697	0.0338608418307951
9904	6909	0.03380430181035
L209	K297	0.03378448131981887
9716	9394	0.03377518745393837
K290	J060	0.03374089625022997
9396	9131	0.03373423899916381
J40	H527	0.03368561432146901
M545	K30	0.033660463965580395
J459	I500	0.03362776940393729
O860	9659	0.03361875451580588
O262	M545	0.03361363941918538
9775	9396	0.03359518411552763
Z380	9764	0.03358906971732423
O410	8878	0.033546037254536885
O410	9716	0.033521323466009605
I500	8879	0.033433867400357364
J069	I10	0.03341304078172479
O441	9059	0.03318868873589454
O345	O262	0.033160762442188026
K291	H531	0.03308138559706895
9929	9904	0.03305805986343568
D500	9789	0.033029471033860384
K297	D259	0.03302356799404842
O363	8749	0.03291179287863382
O141	9059	0.0328525768448797
O321	9059	0.032823446049755414
Z018	9659	0.03277848391582345
Z380	D500	0.032752301811457926
9659	697	0.03274309333160606
Z038	N832	0.03272844656867203
J180	J069	0.03264013581385684
L024	G439	0.032598554694159405
O150	8749	0.032594419201439934
Z710	J40	0.03258858760479636
K073	I10	0.032532871761238265
O610	697	0.032463857423861424
Z719	I10	0.032325889706223514
9389	9059	0.032191701950407714
K30	I219	0.032131503855474274
O440	causal_A06	0.03209741805888931
Z301	O622	0.032053360129296556
D259	9775	0.03203502846834478
Z369	K529	0.032008371095433856
O410	7534	0.031922108419863544
O610	O13	0.031883126679297866
O13	9783	0.03186052521997117
Z090	Z038	0.031858677462149924
8878	8749	0.0318043002547385
9921	8876	0.0317773067867878
O410	897	0.031681331702472455
O149	5794	0.031669403478746916
R53	O268	0.03165370200167542
N946	K30	0.03157020060700898
O410	9357	0.03156025080437551
O13	7534	0.03153103211344853
O479	G439	0.03142476066592371
O140	5794	0.03139424646692682
7171	5794	0.03135869486662289
Z380	O109	0.03132993013950714
O141	5794	0.031248709599761025
Z719	8879	0.03123047636727854
9764	9139	0.031207935920926293
O479	H527	0.03108053768703167
O991	8749	0.030870861019320107
O441	8878	0.030791630658737027
O149	9918	0.030735148787533723
Z018	9396	0.03072573837611988
O342	9764	0.03069351746225915
H811	9716	0.030628956769286654
O268	A09	0.030555838065133675
K30	H811	0.03053290771299371
Z000	H531	0.030512813928443364
O149	9059	0.03050293616593517
I10	8879	0.030433752721349502
O140	O109	0.030431821242984602
Z038	O150	0.03039060032975061
Z099	D259	0.03037177035401209
O469	8602	0.030367091078390706
O149	9921	0.030251486149436593
Z508	O321	0.030228758353769303
8879	8876	0.030228476811595514
M545	I10	0.030215843330571077
O363	8876	0.030177137808350844
N832	9357	0.030169234233672248
O150	8878	0.029914512367674763
K30	I10	0.029905918690607908
Z719	E780	0.029788983870219894
K30	H531	0.029761845895579765
O441	D500	0.029761310872980323
O410	8905	0.02972819302120011
J069	I500	0.029706806582663055
K529	K297	0.029692635775827037
O610	O363	0.029610006275042892
O991	O141	0.029608659814780922
9396	9389	0.029599114301168707
O441	9716	0.029589448351748617
N832	L209	0.02954892501784185
O321	O140	0.029468348991874022
N390	J069	0.029420391039443255
Z090	R53	0.02938568693990814
O140	9357	0.029340871252516384
9616	6909	0.02930946058157578
Z018	9929	0.0292384950688425
K529	J069	0.029205467954692345
Z309	I849	0.028910101633228744
J069	E780	0.028889393023192475
Z719	Z090	0.02888614938761091
O363	O235	0.028835808874211548
M545	9139	0.028832874777040572
Z710	O109	0.028722035908994484
O262	K029	0.028643712711728626
O149	O120	0.02857041904778883
O321	9918	0.028292068610423694
J398	H521	0.028258100719730762
causal_A03	9139	0.028255513354495405
J40	E780	0.028240223079952508
O342	9918	0.02822646795585611
O13	9918	0.028223510112886565
N390	B373	0.02809180221638995
9616	8878	0.028024003921982673
9059	8879	0.027855003350531274
897	6909	0.02780706037667096
O140	J680	0.027761697349525147
O141	8749	0.02775002373629641
9783	8876	0.0277158931618823
I849	8879	0.027694531064178903
O991	O411	0.02768523609002515
O321	9357	0.0276771215181501
O150	697	0.02761717820640873
O141	9357	0.02754437423150183
D500	D259	0.02751542171031232
Z090	8749	0.027490449571693703
N832	I500	0.027485971306742164
8879	6909	0.02742919339911299
Z380	O410	0.027414182962085004
O600	causal_A06	0.027357669555928225
M069	D259	0.027349096113431007
O262	697	0.02731584281576809
O345	O342	0.027303221495134387
N946	8876	0.027280364175780874
N946	J069	0.0272208410147094
causal_A10	7534	0.02719103756600838
N832	K291	0.027188746606371585
O363	causal_A10	0.027066122642849733
L209	K290	0.027009781130680536
D259	9659	0.02700692980002719
N390	9139	0.026982154522191527
causal_A06	8602	0.02692793641355585
9764	8878	0.02690248617120961
K297	H531	0.026821637084806976
I10	8749	0.026732662219511913
Z710	Z000	0.026685050382120153
O345	M545	0.026682139844142756
N920	J069	0.02665149896962108
Z018	9059	0.026640009059640344
Z090	K297	0.026620697418358978
K291	I10	0.026613207799831878
Z301	O150	0.026593541897358793
O149	O13	0.02658398156903944
J069	I842	0.026493248617325414
N946	M069	0.026392683077144253
O365	O321	0.02630300027640186
O141	J680	0.026257276990714888
E780	A09	0.02622432872745662
O619	9357	0.026155748820822455
9921	697	0.026152904484891756
O141	9918	0.026085047763062114
Z719	Z300	0.025987524720402513
Z305	8876	0.02598265620090172
O600	8878	0.025971070911102716
O410	9764	0.025938677220759394
Z018	O610	0.025929933319069936
O479	9918	0.025921568507956502
697	598	0.025906337908379786
causal_A10	9921	0.025812113617913964
9921	9131	0.025805396944451
O410	O321	0.025710672250609367
O410	9789	0.025671514661693942
O321	O235	0.025656109570607162
O441	9921	0.02556493529954148
9616	697	0.02549729210805209
N390	8876	0.025472935503139633
Z719	O268	0.02545318390682589
K30	I849	0.025389415014510624
M545	I849	0.025374650797403035
O268	E780	0.025344035299031335
8879	8602	0.025328009238654633
K089	7534	0.02532595388280421
8876	734	0.025300431215174606
O13	9921	0.025263912533276728
Z014	A09	0.025197494832699063
9783	8879	0.025190190925280357
O365	9059	0.025170884345347883
8879	8878	0.025120200796407272
O109	9139	0.025099991802817006
O860	5794	0.024864877319783856
Z090	H669	0.024827603113933356
Z710	O345	0.02479876322153305
8905	7171	0.024772784170897726
R53	K291	0.0247169610397969
O600	O140	0.024716646110868493
O342	7534	0.024711581243207756
J459	8878	0.02469786280666947
causal_A10	9396	0.024693477448434163
O109	N946	0.02464270360350129
O342	9775	0.02452988949948823
Z305	N390	0.024401077285710567
K291	K290	0.02439581780014697
9059	7171	0.024371745546691113
J459	9396	0.024311007674353437
9929	8879	0.024287041103258255
9139	8905	0.02427648248531488
9396	6909	0.024247006225634787
9918	8879	0.024221435392823926
Z354	Z305	0.02421946318611176
Z090	N946	0.024217808038859305
Z354	B379	0.024177354949777834
N946	K297	0.024156178245155542
Z369	J069	0.02407246605664408
8905	8876	0.024059996870657546
O13	9059	0.024051759205275473
Z300	A09	0.02403067155728168
Z038	D259	0.02401485553673725
8878	8602	0.023955308914943074
9775	8905	0.02391481802942478
O479	9764	0.02387827431153367
O985	J459	0.023819452878379915
O13	9616	0.023794728215082852
O109	598	0.02379374510682214
O235	897	0.023779290614289898
Z000	H811	0.02377169111723901
B373	8878	0.023757359649370775
Z309	Z090	0.023665602709988173
Z380	O622	0.023514795250759148
O441	O321	0.023506603284711783
O262	9904	0.023498348965344307
K029	J069	0.023452610689714694
Z719	M545	0.023389144300805364
N920	9139	0.02333246202029557
Z012	K029	0.023313258313852694
O140	9918	0.02331306843344875
R202	7534	0.02327198243297752
J40	H521	0.023169676582481587
Z038	O120	0.023102893988970065
O479	J069	0.023099433633759717
O149	7534	0.023064335812540106
N390	A09	0.023002775553367865
Z012	Z000	0.022953310402721482
Z380	5794	0.022903145962183617
J40	B373	0.022882627308778034
Z380	9789	0.022833782926557213
Z308	K029	0.022819628093992492
J069	I219	0.02280608836011563
O619	7534	0.022779085853189333
Z301	9059	0.022774400694306383
Z038	8905	0.02275962336012543
O321	9929	0.022748032427241813
O610	9131	0.022727019816046492
Z305	697	0.022641730321006293
A09	8749	0.022606182220432227
H531	H521	0.02254885307693972
Z301	O262	0.022516219410715185
L209	D259	0.022512533624753462
O622	K529	0.022511507961907623
O13	O109	0.02247574893351267
O13	8602	0.022459684337501173
Z719	N832	0.02239012426043626
causal_A10	734	0.022369446988379636
Z368	R69	0.022340061830921656
K297	H522	0.022320262587859734
9764	7171	0.022317961152686427
Z099	N832	0.022260339894314286
Z360	Z300	0.022227798905263458
M545	897	0.022215914094545493
O619	9921	0.022187145939093388
Z710	H669	0.022176942558032407
K291	K029	0.022158035513887238
O311	8878	0.02215527934581934
Z000	J459	0.022122848629812987
R69	9929	0.022062455074303353
O440	O321	0.022045733412870673
Z300	Z018	0.022027109858119797
R53	B373	0.02199964983595763
Z090	8879	0.021963290048453588
Z014	N760	0.021933620419736496
Z380	9716	0.021927845690759017
O411	9396	0.02190786930543167
Z349	O120	0.021900313180712883
R202	8878	0.021899286131909054
O342	9929	0.021881501230469596
O321	B379	0.021871666256063016
Z349	J459	0.021800941673616236
O469	9059	0.021786594705961587
O622	9059	0.021786546116137614
O342	O321	0.02174934833657268
D500	9764	0.021734013703506007
causal_A03	9904	0.021699626742514144
O411	9904	0.02165338251700905
Z012	H531	0.021641543228682118
Z320	8905	0.021630278797543
Z099	J069	0.021627948294808356
R69	causal_A06	0.021595829939892692
N920	K30	0.021586012180416156
Z349	8749	0.021555979831401756
K30	J060	0.021511504875084627
9929	697	0.021504520063491833
I10	8876	0.021451185276958346
9396	8879	0.021442297197224725
K30	B909	0.02134899934040494
O235	8878	0.02120773135261273
8905	7534	0.02116441960059869
Z305	K290	0.02115045117533644
N832	H521	0.02113461803921791
O150	9659	0.02112875148736862
N920	9904	0.021073521813893135
R69	734	0.0210709469660804
I849	H522	0.02106022075560918
R202	O410	0.021056478194700703
O622	9357	0.02101728303307001
O610	I500	0.02101392919919373
Z309	N920	0.020970127747930212
D259	9616	0.020960168865569777
9394	9059	0.020950687770786305
Z300	Z014	0.02093953249608823
O363	7534	0.02092746807580119
O479	O441	0.020924752704971978
O140	O13	0.020891906517405745
O441	causal_A03	0.020869152718114656
J060	I849	0.02081337031382672
Z368	O479	0.02076423922225183
O262	O13	0.020731780433553934
Z301	734	0.02069843719895782
8602	734	0.02068253658411056
N832	9783	0.020615123251941977
O600	897	0.020576761373438394
O600	7171	0.0204993190778261
Z355	9139	0.020496113342679503
Z309	K30	0.020397940777420638
O991	causal_A03	0.020392928840892385
Z380	9659	0.02038565725975568
O619	734	0.020371283251476927
O441	5794	0.020333534997208837
causal_A06	9716	0.020321267685236025
O440	O109	0.020272558114601654
O410	O363	0.020269922339246425
N390	6909	0.020263923525053778
897	8749	0.020238399642748966
O149	J398	0.02021071451958987
Z099	8878	0.020194765537950275
R53	O140	0.020155657071634542
Z090	9357	0.020155152293143765
I500	B373	0.020084437176564204
Z099	Z090	0.020073261183950995
Z099	8876	0.020031263448912966
O600	O235	0.019996926595590988
Z354	O109	0.01999587053191046
K30	J459	0.019994968911862247
K029	H522	0.019966980355907254
J680	H521	0.01996575480755397
H669	A09	0.019929033662641513
Z014	O440	0.019899718205334888
O365	8878	0.019897323649048115
Z014	8878	0.019862798391975904
Z038	O363	0.019814515143288854
causal_A10	9918	0.01976362345550034
O610	9918	0.01971477121841033
O141	8879	0.01971426261690906
O610	O150	0.019707065974273002
8876	598	0.019702719098859043
K089	8878	0.01969970939161135
O441	697	0.019678190024032156
M545	H522	0.019678064167289618
Z355	9357	0.019677509937171586
O860	H522	0.01964779591431155
9929	6909	0.01964133459979394
N390	9783	0.019589208772306393
O479	8878	0.019542788506193287
Z349	O440	0.019496652987466282
K30	J40	0.019466784753534614
R69	5794	0.019388656887577353
Z038	8876	0.01936559308272455
9929	9394	0.019318023219294288
O345	D500	0.019286247809446246
9929	734	0.019265753588562345
Z099	I10	0.019239812933749253
O268	9139	0.019235764123195935
O342	B379	0.019124223776028685
Z090	O150	0.019074866498298593
9904	9764	0.019061887133255986
O991	O619	0.019017949251761902
O140	697	0.019003562172736264
Z355	8878	0.018972966798030358
I10	9394	0.01896849428653973
N920	K297	0.018963256037059062
9716	7534	0.018953682705026505
J060	causal_A11	0.018907920916529503
H527	8749	0.018904511626120033
D500	598	0.018860223230750865
