Code,Description
O693,Labour and delivery complicated by short cord
O694,Labour and delivery complicated by vasa praevia
O695,Labour and delivery complicated by vascular lesion of cord
O698,Labour and delivery complicated by other cord complications
O699,"Labour and delivery complicated by cord complication, unspecified"
O70,NA
O700,First degree perineal laceration during delivery
O701,Second degree perineal laceration during delivery
O702,Third degree perineal laceration during delivery
O703,Fourth degree perineal laceration during delivery
O709,"Perineal laceration during delivery, unspecified"
O712,Postpartum inversion of uterus
O720,Third-stage haemorrhage
O721,Other immediate postpartum haemorrhage
O722,Delayed and secondary postpartum haemorrhage
O723,Postpartum coagulation defects
O750,Maternal distress during labour and delivery
O751,Shock during or following labour and delivery
O757,Vaginal delivery following previous caesarean section
O758,Other specified complications of labour and delivery
O759,"Complication of labour and delivery, unspecified"
O80,Single spontaneous delivery
O800,Spontaneous vertex delivery
O801,Spontaneous breech delivery
O808,Other single spontaneous delivery
O809,"Single spontaneous delivery, unspecified"
O810,Low forceps delivery
O813,Other and unspecified forceps delivery
O814,Vacuum extractor delivery
O815,Delivery by combination of forceps and vacuum extractor
O820,Delivery by elective caesarean section
O821,Delivery by emergency caesarean section
O822,Delivery by caesarean hysterectomy
O828,Other single delivery by caesarean section
O829,"Delivery by caesarean section, unspecified"
O831,Other assisted breech delivery
O832,Other manipulation-assisted delivery
O833,Delivery of viable fetus in abdominal pregnancy
O834,Destructive operation for delivery
O838,Other specified assisted single delivery
O839,"Assisted single delivery, unspecified"
O840,"Multiple delivery, all spontaneous"
O841,"Multiple delivery, all by forceps and vacuum extractor"
O842,"Multiple delivery, all by caesarean section"
O848,Other multiple delivery
O849,"Multiple delivery, unspecified"
O85,Puerperal sepsis
O861,Other infection of genital tract following delivery
O862,Urinary tract infection following delivery
O863,Other genitourinary tract infections following delivery
O864,Pyrexia of unknown origin following delivery
O872,Haemorrhoids in the puerperium
O873,NA
O878,Other venous complications in the puerperium
O890,Pulmonary complications of anaesthesia during the puerperium
O894,NA
O896,Failed or difficult intubation during the puerperium
O899,"Complication of anaesthesia during the puerperium, unspecified"
O900,Disruption of caesarean section wound
O902,Haematoma of obstetric wound
O904,Postpartum acute renal failure
O905,Postpartum thyroiditis
P030,Fetus and newborn affected by breech delivery and extraction
P031,"Fetus and newborn affected by other malpresentation, malposition and disproportion during labour and delivery"
P033,Fetus and newborn affected by delivery by vacuum extractor [ventouse]
P034,Fetus and newborn affected by caesarean delivery
P035,Fetus and newborn affected by precipitate delivery
P038,Fetus and newborn affected by other specified complications of labour and delivery
P039,"Fetus and newborn affected by complication of labour and delivery, unspecified"
P201,Intrauterine hypoxia first noted during labour and delivery
P242,Neonatal aspiration of blood
P243,Neonatal aspiration of milk and regurgitated food
P248,Other neonatal aspiration syndromes
P249,"Neonatal aspiration syndrome, unspecified"
P290,Neonatal cardiac failure
P292,Neonatal hypertension
P375,Neonatal candidiasis
P390,Neonatal infective mastitis
P393,Neonatal urinary tract infection
P394,Neonatal skin infection
P540,Neonatal haematemesis
P545,Neonatal cutaneous haemorrhage
P546,Neonatal vaginal haemorrhage
P592,Neonatal jaundice from other and unspecified hepatocellular damage
P599,"Neonatal jaundice, unspecified"
P615,Transient neonatal neutropenia
P702,Neonatal diabetes mellitus
P711,Other neonatal hypocalcaemia
P721,Transitory neonatal hyperthyroidism
P783,Noninfective neonatal diarrhoea
P925,Neonatal difficulty in feeding at breast
P940,Transient neonatal myasthenia gravis
P964,"Termination of pregnancy, fetus and newborn"
Z37,NA
Z370,Single live birth
Z371,Single stillbirth
Z372,"Twins, both liveborn"
Z373,NA
Z374,NA
Z375,"Other multiple births, all liveborn"
Z377,NA
Z379,"Outcome of delivery, unspecified"
Z390,Care and examination immediately after delivery
