Predictor,Description,log(Fold change),Normalized average of global value,t statistic,p-value,FDR or adjusted p-value,B statistic
J398,Other specified diseases of upper respiratory tract,3.5652348120147046e-4,8.637916775037992e-5,7.707390808987905,p<1e-08,p<1e-08,17.875618201679362
R69,Unknown and unspecified causes of morbidity,5.730665530947875e-4,1.6050351168752137e-4,7.5047828288304075,p<1e-08,p<1e-08,16.335583041636642
O441,Placenta praevia with haemorrhage,-0.0022365753602635314,0.0034278459383944126,-7.360014774462086,p<1e-08,p<1e-08,15.260287721269375
J680,"Bronchitis and pneumonitis due to chemicals, gases, fumes and vapours",2.986383201355372e-4,5.644233896034134e-5,7.21364279411787,p<1e-08,p<1e-08,14.19434630513489
7534,Other fetal monitoring,9.789980692316742e-4,9.658023514266943e-4,7.158991312640859,p<1e-08,p<1e-08,13.801834703069673
O619,"Failed induction of labour, unspecified",0.0013720202822355787,0.0013701786713728515,7.121961468508707,p<1e-08,p<1e-08,13.5375776592875
I10,Essential (primary) hypertension,-0.001726764908469033,0.0020936964792636873,-7.1150114174851495,p<1e-08,p<1e-08,13.488132390788767
6909,Other dilation and curettage of uterus,-0.001485710991750996,0.0014520842964290204,-7.004282791582348,p<1e-08,p<1e-08,12.70687132702541
9357,Application of other wound dressing,0.002761469973126943,0.005049450107684159,6.899296545682024,p<1e-08,p<1e-08,11.977430723187311
O410,Olihydramnios,0.0025430555493296853,0.0052830057921978545,6.873251449655356,p<1e-08,p<1e-08,11.798173876197936
Z349,"Supervision of normal pregnancy, unspecified",-0.006249116573723829,0.030625703692994586,-6.55455174478147,p<1e-08,p<1e-08,9.659552884574222
O321,Maternal care for breech presentation,0.0025224827324660253,0.005300539259741817,6.5066648635661695,p<1e-08,p<1e-08,9.3469739145524109
Z301,Insertion of (intrauterine) contraceptive device,0.0016970349891532045,0.0021559144295402776,6.394491310240128,p<1e-08,p<1e-08,8.62373146312823
N760,Acute vaginitis,5.345906102935166e-4,2.4040376599686488e-4,6.255479635064509,p<1e-08,p<1e-08,7.744883617985515
K529,"Noninfective gastroenteritis and colitis, unspecified",7.061268521569209e-4,3.793004105344335e-4,6.249887791949103,p<1e-08,p<1e-08,7.709935086215538
K297,"Gastritis, unspecified",-0.0024524163799793924,0.00563801193287494,-6.085187323666688,p<1e-08,p<1e-08,6.694576525302548
598,Ureteral catheterization,8.748073365446428e-4,0.0010021727150945244,6.039206427653681,p<1e-08,p<1e-08,6.415947217095582
8905,"Diagnostic interview and evaluation, not otherwise specified",-6.553242876816744e-4,9.349042655089402e-4,-6.025181233796123,p<1e-08,p<1e-08,6.331379360220826
8602,Injection or tattooing of skin lesion or defect,3.3095893711155156e-4,2.187023457706921e-4,5.973307752487054,p<1e-08,p<1e-08,6.0203043545306905
697,Insertion of intrauterine contraceptive device,5.400645422401219e-4,4.978509005631464e-4,5.789003204408398,p<1e-08,p<1e-08,4.936804357714735
T384,Poisoning by oral contraceptives,1.0679333258464366e-4,1.4909853744974185e-5,5.561675135959906,p<1e-08,3e-07,3.647109215037279
7171,Suture of laceration of vulva or perineum,3.956472338570255e-4,2.5401361712286326e-4,5.301316509751512,1e-07,1e-06,2.233441794011595
9396,Other oxygen enrichment,0.001348873379779887,0.003711592493515977,5.156085893816074,3e-07,2e-06,1.4743071688351979
Z479,"Orthopaedic follow-up care, unspecified",1.5562813059784232e-4,2.7030526146859717e-5,5.143391995734022,3e-07,2e-06,1.408956327949788
K291,Other acute gastritis,-0.0010086718549092671,0.001399437547212354,-4.904267124346737,9e-07,8e-06,0.20797294585556791
B373,Candidiasis of vulva and vagina,-6.66531312311488e-4,5.73474150947306e-4,-4.831222842027473,1e-06,1e-05,-0.14749402486573437
K089,"Disorder of teeth and supporting structures, unspecified",1.5398059920958022e-4,3.740580077307706e-5,4.742219051088078,2e-06,2e-05,-0.5734216104494685
D259,"Leiomyoma of uterus, unspecified",-8.381774139001167e-4,0.0010621693743066722,-4.735244516875304,2e-06,2e-05,-0.6064637991791102
897,General physical examination,6.18743013596351e-4,9.933642666707528e-4,4.709039991733856,2e-06,2e-05,-0.7301746010658814
O311,Continuing pregnancy after abortion of one fetus or more,2.203009209736497e-4,7.558975000379667e-5,4.579581142196696,5e-06,4e-05,-1.3312776315724495
O365,Maternal care for poor fetal growth,7.68980022735372e-4,9.674239084167555e-4,4.577881094034837,5e-06,4e-05,-1.3390598848402693
9764,Removal of other urinary drainage device,1.958151831441249e-4,2.821750833536643e-4,4.502321327961011,7e-06,5e-05,-1.682030493697809
Z369,"Antenatal screening, unspecified",-0.0033163955115161187,0.01734773180905698,-4.496039003566648,7e-06,5e-05,-1.7102894671685895
L209,"Atopic dermatitis, unspecified",-6.273706619318454e-4,6.752742713225093e-4,-4.458388403495955,8e-06,6e-05,-1.87882184925979
J069,"Acute upper respiratory infection, unspecified",-0.0022269782209114754,0.008745006076870182,-4.417137702942804,1e-05,7e-05,-2.0618428163743694
I959,"Hypotension, unspecified",4.999382304255816e-4,4.147424676464177e-4,4.3843668874476185,1e-05,8e-05,-2.206028198281871
K029,"Dental caries, unspecified",-7.678290366815812e-4,0.0010740132064068902,-4.27396472870519,2e-05,1e-04,-2.683878631830307
P229,"Respiratory distress of newborn, unspecified",1.4992575443291062e-4,3.439646819240723e-5,4.268335057354556,2e-05,1e-04,-2.7079189708742817
Z309,"Contraceptive management, unspecified",-8.815172399113397e-4,0.001498670679880385,-4.23269257219682,2e-05,2e-04,-2.8593877163064576
Z308,Other contraceptive management,-4.3117208659700253e-4,4.1126558504064523e-4,-4.225814062997673,2e-05,2e-04,-2.8884729495875643
O479,"False labour, unspecified",5.681995880825255e-4,5.850818392494673e-4,4.217974593731284,2e-05,2e-04,-2.921563871364633
Z099,Follow-up examination after unspecified treatment for other conditions,-4.5704542535982993e-4,4.2500646351687556e-4,-4.179331499868663,3e-05,2e-04,-3.0837813730117567
O469,"Antepartum haemorrhage, unspecified",-8.142820205494742e-4,0.0012813614716149352,-4.128952304127076,4e-05,2e-04,-3.293024047775287
H811,Benign paroxysmal verti,3.408853532825273e-4,2.3853301648626957e-4,4.09083753160982,4e-05,3e-04,-3.4496427432555077
Z355,Supervision of elderly primigravida,0.0010659161169586755,0.002154577882534985,3.967673778073464,7e-05,4e-04,-3.9458128412584834
O149,"Pre-eclampsia, unspecified",-0.0011556513375436544,0.0028833411593858762,-3.963264934163478,7e-05,4e-04,-3.963292975450723
9389,"Rehabilitation, not elsewhere classified",1.695553371182266e-4,5.0185546822194867e-5,3.8841364440652812,1e-04,6e-04,-4.2737173719277015
I842,Internal haemorrhoids without complication,3.0372385681987465e-4,2.0009978899886312e-4,3.8450556421779445,1e-04,7e-04,-4.424724342995909
O150,Eclampsia in pregnancy,-6.046078909660271e-4,8.051557204834987e-4,-3.834652264732399,1e-04,7e-04,-4.46466539055474
O262,Pregnancy care of habitual aborter,2.7996006112165645e-4,1.8394154287463817e-4,3.7140430527805126,2e-04,1e-03,-4.919816147496504
L024,"Cutaneous abscess, furuncle and carbuncle of limb",9.098312129292371e-5,2.279816031787122e-5,3.6444569960803985,3e-04,1e-03,-5.175803203941351
Z320,"Pregnancy, not (yet) confirmed",-9.046797383289479e-4,0.0019221084937986244,-3.5962779500865865,3e-04,2e-03,-5.350204417118424
O901,Disruption of perineal obstetric wound,6.535619005461728e-5,9.124644876762702e-6,3.5105431179138646,4e-04,2e-03,-5.65481413666132
9616,Other vaginal dilation,1.2124155176770111e-4,1.0878887884879471e-4,3.5067265809521175,5e-04,2e-03,-5.668203203822244
R53,Malaise and fatigue,-4.786200007367391e-4,5.598308799383974e-4,-3.491065648826649,5e-04,2e-03,-5.722991989398957
O141,Severe pre-eclampsia,-0.0014543827528037637,0.006138179392964175,-3.471985085110716,5e-04,3e-03,-5.789412834312206
Z354,Supervision of pregnancy with grand multiparity,-4.5866728369180085e-4,5.099857482642656e-4,-3.454636717907892,6e-04,3e-03,-5.849487913940894
8876,Diagnostic ultrasound of abdomen and retroperitoneum,-5.646184872550511e-4,8.089917997062586e-4,-3.4413643851996123,6e-04,3e-03,-5.895245108571742
J180,"Bronchopneumonia, unspecified",2.3918982861591628e-4,1.6015421879639482e-4,3.381808607474436,7e-04,4e-03,-6.098399561992932
Q501,Developmental ovarian cyst,1.0848110026609846e-4,3.627549268010062e-5,3.347651702480748,8e-04,4e-03,-6.213314481646617
O622,Other uterine inertia,8.30279600382042e-4,0.0021641888555422877,3.321807017686437,9e-04,4e-03,-6.299489327222391
N920,Excessive and frequent menstruation with regular cycle,-2.944487502110755e-4,2.533395564573946e-4,-3.3065872756570123,9e-04,4e-03,-6.349924672785452
O345,Maternal care for other abnormalities of gravid uterus,6.511778821611547e-4,0.0011809428596034443,3.3044908336722263,1e-03,4e-03,-6.356853740432034
Z012,Dental examination,2.2114979369096535e-4,2.2452274230126107e-4,3.2706693677625767,1e-03,5e-03,-6.468031783748859
A09,Diarrhoea and gastroenteritis of presumed infectious origin,0.0011359157538033072,0.003954281399070549,3.255292596382283,1e-03,5e-03,-6.518200243838292
M545,Low back pain,-4.02838010656681e-4,5.555496528438886e-4,-3.252658272465628,1e-03,5e-03,-6.5267713093044355
I500,Congestive heart failure,-3.066560837096513e-4,2.8116316826677114e-4,-3.209400662897056,1e-03,6e-03,-6.666522511119797
H521,Myopia,7.935659552879596e-4,0.0019846414725720124,3.204092031231212,1e-03,6e-03,-6.683544100497021
K30,Dyspepsia,-0.0013981002284934403,0.0069023067254391345,-3.182572974370568,1e-03,6e-03,-6.752254221712636
9716,Replacement of wound packing or drain,3.448836085086773e-4,4.5344258250468904e-4,3.122986380971809,2e-03,8e-03,-6.940097999998321
Z368,Other antenatal screening,-0.0012191042071420146,0.00468401378887044,-3.1120845767278285,2e-03,8e-03,-6.974081299197727
N342,Other urethritis,4.2750894059769736e-5,5.968627090032339e-6,3.103005354879639,2e-03,8e-03,-7.002292535516399
O632,"Delayed delivery of second twin, triplet, etc.",2.44977420329453e-4,1.8332511220866507e-4,3.1005440426557764,2e-03,8e-03,-7.009926202451652
D500,Iron deficiency anaemia secondary to blood loss (chronic),-4.4417623301712535e-4,5.801946365164118e-4,-3.084349293737162,2e-03,8e-03,-7.060002588531952
8879,Other diagnostic ultrasound,-5.20161759135819e-4,9.4282106997173e-4,-3.067734281084287,2e-03,9e-03,-7.111106007825883
Z380,"Singleton, born in hospital",6.400951614433331e-4,0.001556938680133346,3.0601421471133996,2e-03,9e-03,-7.13436555706599
O600,Preterm labour without delivery,5.794981713582566e-4,0.0011356366707402598,3.0583367026996906,2e-03,9e-03,-7.139888304240956
G439,"Migraine, unspecified",-3.122455522860082e-4,3.491052872870951e-4,-3.056237380774894,2e-03,9e-03,-7.146305907867187
K290,Acute haemorrhagic gastritis,-4.928668627560416e-4,8.205321279380849e-4,-3.055744164498243,2e-03,9e-03,-7.147813025355625
N946,"Dysmenorrhoea, unspecified",3.607067113865609e-4,5.215598202376052e-4,3.0523947606492494,2e-03,9e-03,-7.158041341852373
O991,"Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating pregnancy, childbirth and the puerperium",4.6842774764414396e-4,7.670604094608742e-4,3.051574411842501,2e-03,9e-03,-7.1605447904815485
J060,Acute larynpharyngitis,-5.540012616682532e-4,0.0011174169686905394,-3.0498257894134686,2e-03,9e-03,-7.1658787952243
O268,Other specified pregnancy-related conditions,5.543654674761564e-4,0.0010598631752983755,2.999041382030647,3e-03,1e-02,-7.31945823516586
K073,Anomalies of tooth position,9.527549607450883e-5,3.683972290254454e-5,2.992208689327426,3e-03,1e-02,-7.339924512623139
O120,Gestational oedema,1.9465615724770469e-4,1.4260214456079473e-4,2.9046357497163164,4e-03,1e-02,-7.5981032825233985
causal_A10,GTI,1.486602459478105e-4,1.4698444595081064e-4,2.898967190078554,4e-03,1e-02,-7.614550889753006
Z719,"Counselling, unspecified",-4.659157278629101e-4,8.386747593053567e-4,-2.8926099662344145,4e-03,1e-02,-7.632958475849731
H669,"Otitis media, unspecified",-3.0755911462609334e-4,3.8390059455711476e-4,-2.8844892713292825,4e-03,1e-02,-7.656413491321821
H531,Subjective visual disturbances,1.6012713769228092e-4,1.2061098883197439e-4,2.8610459393815773,4e-03,1e-02,-7.723755022599909
I219,"Acute myocardial infarction, unspecified",8.174228256681069e-5,2.7704376755382725e-5,2.8477333648987235,4e-03,2e-02,-7.761751120363488
O342,Maternal care due to uterine scar from previous surgery,-0.0014086179209587975,0.009798919567135968,-2.838037131491408,5e-03,2e-02,-7.789314115561104
M069,"Rheumatoid arthritis, unspecified",-3.211315860857626e-4,4.368799711204101e-4,-2.8097451518677707,5e-03,2e-02,-7.86920106702089
H527,"Disorder of refraction, unspecified",2.374114055979651e-4,2.6503815087968195e-4,2.8078315391481157,5e-03,2e-02,-7.874575566864584
O235,Infections of the genital tract in pregnancy,2.3749701103066513e-4,2.3935762770663905e-4,2.7947401211879788,5e-03,2e-02,-7.911245432305693
H522,Astigmatism,2.767886793730615e-4,3.8765619326057237e-4,2.7410824065227084,6e-03,2e-02,-8.05975364556862
Z090,Follow-up examination after surgery for other conditions,-5.06162518378641e-4,0.0011321494939123713,-2.716850328933913,7e-03,2e-02,-8.125877179487478
I849,Unspecified haemorrhoids without complication,-3.206415415243608e-4,4.739071283232483e-4,-2.663594371698017,8e-03,3e-02,-8.269137081730983
Z014,Gynaecological examination (general) (routine),-5.297636200500214e-4,0.0011855419746821224,-2.6634689791075576,8e-03,3e-02,-8.269471045023053
Z300,General counselling and advice on contraception,-4.3933431909572374e-4,9.255617464213045e-4,-2.6548808147223006,8e-03,3e-02,-8.292306852429716
9904,Transfusion of packed cells,-8.354839831370076e-4,0.00328247639255587,-2.6520775521516975,8e-03,3e-02,-8.299744725048049
O109,"Unspecified pre-existing hypertension complicating pregnancy, childbirth and the puerperium",-2.652936203062098e-4,3.249306626885112e-4,-2.6453113325471738,8e-03,3e-02,-8.317665110683103
O440,Placenta praevia specified as without haemorrhage,-7.078824192124292e-4,0.0024494675753674996,-2.6423067692551654,8e-03,3e-02,-8.325608045051027
9783,Removal of abdominal wall sutures,8.456654039496614e-5,4.848429834807645e-5,2.6344914740329863,8e-03,3e-02,-8.34622647340171
N390,"Urinary tract infection, site not specified",-6.626074538690252e-4,0.0021548870354345913,-2.6259990629411325,9e-03,3e-02,-8.368562049053729
9789,Removal of other therapeutic device,-6.008369687810024e-4,0.001540744377923651,-2.5958030825196117,9e-03,3e-02,-8.44739539421962
N832,Other and unspecified ovarian cysts,4.782028712544762e-4,0.0012412237365019402,2.577702975489457,1e-02,3e-02,-8.494212778680147
Z508,Care involving use of other rehabilitation procedures,5.692439598463147e-5,1.6379241706421764e-5,2.5646936884812024,1e-02,3e-02,-8.527660036355822
Z038,Observation for other suspected diseases and conditions,-3.9611893642409597e-4,7.175947916792729e-4,-2.547184824971066,1e-02,3e-02,-8.572408726098917
causal_A06,APH,-2.4318194634682445e-4,5.518586236541746e-4,-2.531584145485698,1e-02,3e-02,-8.61202231955367
J459,"Asthma, unspecified",-6.006141625590758e-4,0.0019015663814584624,-2.5288554547820006,1e-02,3e-02,-8.618926069607014
9394,Respiratory medication administered by nebulizer,-1.77286067255799e-4,2.130081834859926e-4,-2.50156252897368,1e-02,4e-02,-8.68756919539626
Z710,Person consulting on behalf of another person,3.0165370866555856e-4,4.347567866037064e-4,2.499171178894858,1e-02,4e-02,-8.693548079692238
O860,Infection of obstetric surgical wound,1.2057842986648834e-4,8.285636604095156e-5,2.486648989308905,1e-02,4e-02,-8.724762863653648
Z000,General medical examination,-5.849572847948877e-4,0.0016448190785224766,-2.484187111169089,1e-02,4e-02,-8.73088128854748
O140,Moderate pre-eclampsia,6.389170197641795e-4,0.0021265672274514403,2.465780689054245,1e-02,4e-02,-8.776434148603677
Z305,Surveillance of (intrauterine) contraceptive device,-1.8590169496295793e-4,1.9668468797555196e-4,-2.4624796821688584,1e-02,4e-02,-8.78456777544668
9775,Removal of vaginal or vulvar packing,6.965399402788501e-5,6.861722712415348e-5,2.4336411129496875,1e-02,4e-02,-8.855162199667372
O985,"Other viral diseases complicating pregnancy, childbirth and the puerperium",-1.53653863061957e-4,1.8185240954122123e-4,-2.4328301344559597,1e-02,4e-02,-8.857135387514496
E780,Pure hypercholesterolaemia,-2.612425093004277e-4,4.017043907578703e-4,-2.429363471487364,2e-02,4e-02,-8.865562695269578
9659,Other irrigation of wound,-2.908043242006324e-4,0.0011709189884302413,-2.423399531724749,2e-02,4e-02,-8.880032658633107
O13,Gestational [pregnancy-induced] hypertension without significant proteinuria,6.37807293440238e-4,0.002383355277918564,2.409044528480583,2e-02,4e-02,-8.914715564689022
H663,Other chronic suppurative otitis media,-1.5675535349561574e-4,1.5117363955714235e-4,-2.4060666878708403,2e-02,4e-02,-8.92188447803738
causal_A11,Periodontal disease,-2.655215464830631e-4,6.181820989451939e-4,-2.4028371963798176,2e-02,4e-02,-8.929649199432355
R12,Heartburn,4.5367933068036695e-5,1.1636649214012888e-5,2.387261191968315,2e-02,4e-02,-8.966952422629237
Z360,Antenatal screening for chromosomal anomalies,-5.664923263406933e-4,0.001737545113646483,-2.3589972089572457,2e-02,5e-02,-9.03402285907624
J40,"Bronchitis, not specified as acute or chronic",-3.32061501195154e-4,6.24802590617953e-4,-2.350367892512559,2e-02,5e-02,-9.054341075770212
8749,Other chest x,-2.2959359993389797e-4,3.0046379167384426e-4,-2.344940874021289,2e-02,5e-02,-9.067081164619486
