Level,Effect on,Factor,Label,Citation,Data availability,Mathematical model
First,Low BMI,Stress,A23,"Han YS, et al (2011)",No,NA
First,Cigarette smoking,Low SES,A19,"Najman JM, et al (1998)",No,NA
First,Cigarette smoking,Maternal age,A20,"De Genna NM, et al (2017)",No,NA
First,Cigarette smoking,Race,A21,"De Genna NM, et al (2017)",No,NA
First,Cigarette smoking,Low education,A22,"De Genna NM, et al (2017)",No,NA
First,Illicit drug use,Cigarette smoking,A08,"Oga EA, et al (2018); De Genna NM, et al (2017)",No,NA
First,Illicit drug use,Low SES,A19,"Marzban M, et al (2019)",No,NA
First,Illicit drug use,Maternal age,A20,"Homsup P, et al (2018)",No,NA
First,Illicit drug use,Race,A21,"Homsup P, et al (2018)",No,NA
First,Illicit drug use,Low education,A22,"Homsup P, et al (2018)",No,NA
First,Illicit drug use,Stress,A23,"Rocha PC, et al (2016)",No,NA
First,GTI,Tuberculosis,A14,"Sharma JB, et al (2018)",No,NA
First,Periodontal disease,Cigarette smoking,A08,"Genco RJ, and Borgnakke WS (2013)",No,NA
First,Periodontal disease,Asthma,A15,"Moraschini V, et al (2018)",No,NA
First,Periodontal disease,Maternal age,A20,"Genco RJ, and Borgnakke WS (2013)",No,NA
First,Periodontal disease,Low education,A22,"Genco RJ, and Borgnakke WS (2013)",No,NA
First,Periodontal disease,Stress,A23,"Genco RJ, and Borgnakke WS (2013)",No,NA
First,Polyhydramnios,Multiple pregnancy,A02,Moise KJ (1997),No,NA
First,Polyhydramnios,Assisted reproduction,A25,"Lei LL, et al (2019)",No,NA
First,Pneumonia,Asthma,A15,"Goodnight WH, and Soper DE (2005)",No,NA
First,Pneumonia,Influenza,A28,"Goodnight WH, and Soper DE (2005)",No,NA
First,Tuberculosis,Asthma,A15,"Yii AC, et al (2019)",No,NA
First,Tuberculosis,Low SES,A19,"Malhamé I, et al (2016)",No,NA
First,Tuberculosis,Race,A21,"Malhamé I, et al (2016)",No,NA
First,Tuberculosis,Influenza,A28,"de Paus RA, et al (2013)",No,NA
First,Asthma,Influenza,A28,"Murphy VE, et al (2017)",No,NA
Second,Chorioamnionitis,Parity,L30,"Kim CJ, et al (2015)",No,NA
Second,Chorioamnionitis,Gestational age,L32,"Kim CJ, et al (2015)",No,NA
Second,Chorioamnionitis,Varicella,L37,"Kim CJ, et al (2015)",No,NA
Second,Chorioamnionitis,Acute respiratory syndrome,L38,"Kim CJ, et al (2015)",No,NA
Second,IAI,UTI,L29,"Tantengco OAG, et al (2019)",No,NA
Second,IAI,Parity,L30,"Park KH, et al (2012)",No,NA
Second,Cervical shortening,Parity,L30,"Kang WS, et al (2010)",No,NA
Second,Cervical shortening,LEEP loop,L31,"Guimarães FHA, et al (2013)",No,NA
Second,APH,Parity,L30,"Fan D, et al (2017)",No,NA
Second,APH,Gestational age,L32,"Fan D, et al (2017)",No,NA
Second,Low BMI,Anorexia nervosa,L33,"Bjørnholt SM, et al (2019)",No,NA
Second,GTI,Type-2 diabetes mellitus,L34,"Nichols GA, et al (2017)",No,NA
Second,Periodontal disease,Anorexia nervosa,L33,"Chiba FY, et al (2019)",No,NA
Second,Periodontal disease,Type-2 diabetes mellitus,L34,"Genco RJ, and Borgnakke WS (2013)",No,NA
Second,Periodontal disease,Anemia,L35,"Genco RJ, and Borgnakke WS (2013)",No,NA
Second,Polyhydramnios,Type-2 diabetes mellitus,L34,Moise KJ (1997),No,NA
Second,Polyhydramnios,Anemia,L35,"Mathew M, et al (2008)",No,NA
Second,Polyhydramnios,Chromosomal aberration,L36,"Sagi-Dain L, and Sagi S (2015)",No,NA
Second,Pneumonia,Anemia,L35,"Goodnight WH, and Soper DE (2005)",No,NA
Second,Pneumonia,Varicella,L37,"Goodnight WH, and Soper DE (2005)",No,NA
Second,Pneumonia,Acute respiratory syndrome,L38,"Goodnight WH, and Soper DE (2005)",No,NA
Second,Asthma,Varicella,L37,"Murphy VE, et al (2017)",No,NA
